Outcome,Female total,Female direct,Female indirect,Male total,Male direct,Male indirect
Climate knowledge,6.808861753,,,3.886789099,,
Climate awareness,1.998627056,0.736259476,1.290378020,0.836481763,0.232063279,0.616009702
Soil and water conservation,1.815123301,0.665729262,1.023111613,0.883118149,0.338378121,0.512730394
Risk reduction,0.855908158,0.008627266,0.837808062,0.447375817,0.028361440,0.417002199
Road improvement,1.174853877,-0.226543164,1.335297622,0.576514556,-0.172049547,0.747322709
Community participation,1.507676742,-0.009626655,1.536096992,0.626067472,-0.078534542,0.728753413
